date,year,month,day,weekday,date_id
2019-01-01,2019,1,1,1,1
2019-01-02,2019,1,2,2,2
2019-01-03,2019,1,3,3,3
2019-01-04,2019,1,4,4,4
2019-01-05,2019,1,5,5,5
2019-01-06,2019,1,6,6,6
2019-01-07,2019,1,7,0,7
2019-01-08,2019,1,8,1,8
2019-01-09,2019,1,9,2,9
2019-01-10,2019,1,10,3,10
2019-01-11,2019,1,11,4,11
2019-01-12,2019,1,12,5,12
2019-01-13,2019,1,13,6,13
2019-01-14,2019,1,14,0,14
2019-01-15,2019,1,15,1,15
2019-01-16,2019,1,16,2,16
2019-01-17,2019,1,17,3,17
2019-01-18,2019,1,18,4,18
2019-01-19,2019,1,19,5,19
2019-01-20,2019,1,20,6,20
2019-01-21,2019,1,21,0,21
2019-01-22,2019,1,22,1,22
2019-01-23,2019,1,23,2,23
2019-01-24,2019,1,24,3,24
2019-01-25,2019,1,25,4,25
2019-01-26,2019,1,26,5,26
2019-01-27,2019,1,27,6,27
2019-01-28,2019,1,28,0,28
2019-01-29,2019,1,29,1,29
2019-01-30,2019,1,30,2,30
2019-01-31,2019,1,31,3,31
2019-02-01,2019,2,1,4,32
2019-02-02,2019,2,2,5,33
2019-02-03,2019,2,3,6,34
2019-02-04,2019,2,4,0,35
2019-02-05,2019,2,5,1,36
2019-02-06,2019,2,6,2,37
2019-02-07,2019,2,7,3,38
2019-02-08,2019,2,8,4,39
2019-02-09,2019,2,9,5,40
2019-02-10,2019,2,10,6,41
2019-02-11,2019,2,11,0,42
2019-02-12,2019,2,12,1,43
2019-02-13,2019,2,13,2,44
2019-02-14,2019,2,14,3,45
2019-02-15,2019,2,15,4,46
2019-02-16,2019,2,16,5,47
2019-02-17,2019,2,17,6,48
2019-02-18,2019,2,18,0,49
2019-02-19,2019,2,19,1,50
2019-02-20,2019,2,20,2,51
2019-02-21,2019,2,21,3,52
2019-02-22,2019,2,22,4,53
2019-02-23,2019,2,23,5,54
2019-02-24,2019,2,24,6,55
2019-02-25,2019,2,25,0,56
2019-02-26,2019,2,26,1,57
2019-02-27,2019,2,27,2,58
2019-02-28,2019,2,28,3,59
2019-03-01,2019,3,1,4,60
2019-03-02,2019,3,2,5,61
2019-03-03,2019,3,3,6,62
2019-03-04,2019,3,4,0,63
2019-03-05,2019,3,5,1,64
2019-03-06,2019,3,6,2,65
2019-03-07,2019,3,7,3,66
2019-03-08,2019,3,8,4,67
2019-03-09,2019,3,9,5,68
2019-03-10,2019,3,10,6,69
2019-03-11,2019,3,11,0,70
2019-03-12,2019,3,12,1,71
2019-03-13,2019,3,13,2,72
2019-03-14,2019,3,14,3,73
2019-03-15,2019,3,15,4,74
2019-03-16,2019,3,16,5,75
2019-03-17,2019,3,17,6,76
2019-03-18,2019,3,18,0,77
2019-03-19,2019,3,19,1,78
2019-03-20,2019,3,20,2,79
2019-03-21,2019,3,21,3,80
2019-03-22,2019,3,22,4,81
2019-03-23,2019,3,23,5,82
2019-03-24,2019,3,24,6,83
2019-03-25,2019,3,25,0,84
2019-03-26,2019,3,26,1,85
2019-03-27,2019,3,27,2,86
2019-03-28,2019,3,28,3,87
2019-03-29,2019,3,29,4,88
2019-03-30,2019,3,30,5,89
