invoice_id,unit_price,quantity,tax_5,total,cogs,gross_margin_percentage,gross_income,rating,branch_id,customer_id,gender_id,product_line_id,payment_id,date_id,id
750-67-8428,74.69,7,26.1415,548.9715,522.83,4.761904762,26.1415,9.1,1,1,1,1,1,5,1
226-31-3081,15.28,5,3.82,80.22,76.4,4.761904762,3.82,9.6,2,2,1,2,2,67,2
631-41-3108,46.33,7,16.2155,340.5255,324.31,4.761904762,16.2155,7.4,1,2,2,3,3,62,3
123-19-1176,58.22,8,23.288,489.048,465.76,4.761904762,23.288,8.4,1,1,2,1,1,27,4
373-73-7910,86.31,7,30.2085,634.3785,604.17,4.761904762,30.2085,5.3,1,2,2,4,1,39,5
699-14-3026,85.39,7,29.8865,627.6165,597.73,4.761904762,29.8865,4.1,2,2,2,2,1,84,6
355-53-5943,68.84,6,20.652,433.692,413.04,4.761904762,20.652,5.8,1,1,1,2,1,56,7
315-22-5665,73.56,10,36.78,772.38,735.6,4.761904762,36.78,8.0,2,2,1,3,1,55,8
665-32-9167,36.26,2,3.626,76.146,72.52,4.761904762,3.626,7.2,1,1,1,1,3,10,9
692-92-5582,54.84,3,8.226,172.746,164.52,4.761904762,8.226,5.9,3,1,1,5,3,51,10
351-62-0822,14.48,4,2.896,60.816,57.92,4.761904762,2.896,4.5,3,1,1,6,1,37,11
529-56-3974,25.51,4,5.102,107.142,102.04,4.761904762,5.102,6.8,3,1,2,2,2,68,12
365-64-0515,46.95,5,11.7375,246.4875,234.75,4.761904762,11.7375,7.1,1,2,1,2,1,43,13
252-56-2699,43.19,10,21.595,453.495,431.9,4.761904762,21.595,8.2,1,2,2,5,1,38,14
829-34-3910,71.38,10,35.69,749.49,713.8,4.761904762,35.69,5.7,1,2,1,1,2,88,15
299-46-1805,93.72,6,28.116,590.436,562.32,4.761904762,28.116,4.5,3,1,1,4,2,15,16
656-95-9349,68.93,7,24.1255,506.6355,482.51,4.761904762,24.1255,4.6,1,1,1,1,3,70,17
765-26-6951,72.61,6,21.783,457.443,435.66,4.761904762,21.783,6.9,1,2,2,4,3,1,18
329-62-1586,54.67,3,8.2005,172.2105,164.01,4.761904762,8.2005,8.6,1,2,2,5,3,21,19
319-50-3348,40.3,2,4.03,84.63,80.6,4.761904762,4.03,4.4,3,2,1,3,1,70,20
300-71-4605,86.04,5,21.51,451.71,430.2,4.761904762,21.51,4.8,2,1,2,2,1,56,21
371-85-5789,87.98,3,13.197,277.137,263.94,4.761904762,13.197,5.1,3,2,2,1,1,64,22
273-16-6619,33.2,2,3.32,69.72,66.4,4.761904762,3.32,4.4,3,2,2,3,3,74,23
636-48-8204,34.56,5,8.64,181.44,172.8,4.761904762,8.64,9.9,1,2,2,2,1,48,24
549-59-1358,88.63,3,13.2945,279.1845,265.89,4.761904762,13.2945,6.0,1,1,2,4,1,61,25
227-03-5010,52.59,8,21.036,441.756,420.72,4.761904762,21.036,8.5,1,1,1,3,3,81,26
649-29-6775,33.52,1,1.676,35.196,33.52,4.761904762,1.676,6.7,3,2,2,6,2,39,27
189-17-4241,87.67,2,8.767,184.107,175.34,4.761904762,8.767,7.7,1,2,1,6,3,69,28
145-94-9061,88.36,5,22.09,463.89,441.8,4.761904762,22.09,9.6,3,2,1,5,2,25,29
848-62-7243,24.89,9,11.2005,235.2105,224.01,4.761904762,11.2005,7.4,1,2,2,1,2,74,30
871-79-8483,94.13,5,23.5325,494.1825,470.65,4.761904762,23.5325,4.8,3,2,2,6,3,56,31
149-71-6266,78.07,9,35.1315,737.7615,702.63,4.761904762,35.1315,4.5,3,1,2,4,2,28,32
640-49-2076,83.78,8,33.512,703.752,670.24,4.761904762,33.512,5.1,3,2,2,4,2,10,33
595-11-5460,96.58,2,9.658,202.818,193.16,4.761904762,9.658,5.1,1,2,2,1,3,74,34
183-56-6882,99.42,4,19.884,417.564,397.68,4.761904762,19.884,7.5,2,1,1,5,1,37,35
232-16-2483,68.12,1,3.406,71.526,68.12,4.761904762,3.406,6.8,2,1,1,4,1,7,36
129-29-8530,62.62,5,15.655,328.755,313.1,4.761904762,15.655,7.0,1,1,2,4,1,69,37
272-65-1806,60.88,9,27.396,575.316,547.92,4.761904762,27.396,4.7,1,2,1,2,1,15,38
333-73-7901,54.92,8,21.968,461.328,439.36,4.761904762,21.968,7.6,2,2,1,1,1,82,39
777-82-7220,30.12,8,12.048,253.008,240.96,4.761904762,12.048,7.7,3,1,2,3,2,62,40
280-35-5823,86.72,1,4.336,91.056,86.72,4.761904762,4.336,7.9,3,1,1,3,1,17,41
554-53-8700,56.11,2,5.611,117.831,112.22,4.761904762,5.611,6.3,2,1,2,3,2,33,42
354-25-5821,69.12,6,20.736,435.456,414.72,4.761904762,20.736,5.6,3,1,1,4,2,39,43
228-96-1411,98.7,8,39.48,829.08,789.6,4.761904762,39.48,7.6,2,1,1,5,2,63,44
617-15-4209,15.37,2,1.537,32.277,30.74,4.761904762,1.537,7.2,2,1,2,1,2,75,45
132-32-9879,93.96,4,18.792,394.632,375.84,4.761904762,18.792,9.5,3,1,1,2,2,68,46
370-41-7321,56.69,9,25.5105,535.7205,510.21,4.761904762,25.5105,8.4,3,1,2,1,3,58,47
727-46-3608,20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045,4.1,3,1,1,5,1,37,48
669-54-1719,18.93,6,5.679,119.259,113.58,4.761904762,5.679,8.1,3,1,2,2,3,41,49
574-22-5561,82.63,10,41.315,867.615,826.3,4.761904762,41.315,7.9,2,1,1,6,1,78,50
326-78-5178,91.4,7,31.99,671.79,639.8,4.761904762,31.99,9.5,2,1,2,5,2,34,51
162-48-8011,44.59,5,11.1475,234.0975,222.95,4.761904762,11.1475,8.5,1,1,1,5,2,41,52
616-24-2851,17.87,4,3.574,75.054,71.48,4.761904762,3.574,6.5,3,1,1,6,1,81,53
778-71-5554,15.43,1,0.7715,16.2015,15.43,4.761904762,0.7715,6.1,2,1,2,6,3,25,54
242-55-6721,16.16,2,1.616,33.936,32.32,4.761904762,1.616,6.5,3,2,2,3,1,66,55
399-46-5918,85.98,8,34.392,722.232,687.84,4.761904762,34.392,8.2,2,2,1,2,2,59,56
106-35-6779,44.34,2,4.434,93.114,88.68,4.761904762,4.434,5.8,1,1,2,3,2,86,57
635-40-6220,89.6,8,35.84,752.64,716.8,4.761904762,35.84,6.6,1,2,2,1,1,38,58
817-48-8732,72.35,10,36.175,759.675,723.5,4.761904762,36.175,5.4,1,1,1,3,2,20,59
120-06-4233,30.61,6,9.183,192.843,183.66,4.761904762,9.183,9.3,2,2,2,2,2,71,60
285-68-5083,24.74,3,3.711,77.931,74.22,4.761904762,3.711,10.0,2,1,1,4,3,46,61
803-83-5989,55.73,6,16.719,351.099,334.38,4.761904762,16.719,7.0,2,2,2,3,1,55,62
347-34-2234,55.07,9,24.7815,520.4115,495.63,4.761904762,24.7815,10.0,3,1,1,4,1,34,63
199-75-8169,15.81,10,7.905,166.005,158.1,4.761904762,7.905,8.6,1,1,2,4,3,65,64
853-23-2453,75.74,4,15.148,318.108,302.96,4.761904762,15.148,7.6,3,1,2,1,2,45,65
877-22-3308,15.87,10,7.935,166.635,158.7,4.761904762,7.935,5.8,1,1,2,1,2,72,66
838-78-4295,33.47,2,3.347,70.287,66.94,4.761904762,3.347,6.7,2,2,1,1,1,41,67
109-28-2512,97.61,6,29.283,614.943,585.66,4.761904762,29.283,9.9,3,1,1,6,1,7,68
232-11-3025,78.77,10,39.385,827.085,787.7,4.761904762,39.385,6.4,1,2,2,4,2,24,69
382-03-4532,18.33,1,0.9165,19.2465,18.33,4.761904762,0.9165,4.3,1,1,1,1,2,33,70
393-65-2792,89.48,10,44.74,939.54,894.8,4.761904762,44.74,9.6,2,2,2,5,3,6,71
796-12-2025,62.12,10,31.06,652.26,621.2,4.761904762,31.06,5.9,2,2,2,6,2,42,72
510-95-6347,48.52,3,7.278,152.838,145.56,4.761904762,7.278,4.0,3,1,1,5,1,64,73
841-35-6630,75.91,6,22.773,478.233,455.46,4.761904762,22.773,8.7,2,2,1,2,2,68,74
287-21-9091,74.67,9,33.6015,705.6315,672.03,4.761904762,33.6015,9.4,1,2,2,3,1,22,75
732-94-0499,41.65,10,20.825,437.325,416.5,4.761904762,20.825,5.4,2,2,1,2,3,13,76
263-10-3913,49.04,9,22.068,463.428,441.36,4.761904762,22.068,8.6,2,1,2,6,3,9,77
381-20-0914,20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045,5.7,1,1,1,6,3,12,78
829-49-1914,78.31,10,39.155,822.255,783.1,4.761904762,39.155,6.6,2,1,1,5,1,64,79
756-01-7507,20.38,5,5.095,106.995,101.9,4.761904762,5.095,6.0,2,2,1,1,2,22,80
870-72-4431,99.19,6,29.757,624.897,595.14,4.761904762,29.757,5.5,2,2,1,1,3,21,81
847-38-7188,96.68,3,14.502,304.542,290.04,4.761904762,14.502,6.4,3,2,1,5,1,26,82
480-63-2856,19.25,8,7.7,161.7,154.0,4.761904762,7.7,6.6,2,2,2,5,1,23,83
